City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
330,lenoir city,20,US,1586121899.0,29,35.8,-84.26,82.4,9.17
331,saint-pierre,20,RE,1586121899.0,73,-21.34,55.48,77.0,5.82
332,byron bay,7,AU,1586121620.0,100,-28.65,153.62,69.01,2.24
333,storforshei,99,NO,1586121899.0,88,66.4,14.52,22.46,3.49
334,avera,1,US,1586121427.0,39,33.19,-82.53,81.0,8.05
335,bonavista,3,CA,1586121900.0,80,48.65,-53.11,28.0,1.99
336,kampot,17,KH,1586121900.0,80,10.62,104.18,79.56,5.23
337,kavaratti,84,IN,1586121972.0,71,10.57,72.64,83.05,5.12
338,le port,20,RE,1586121712.0,88,-20.94,55.29,77.0,10.29
339,najran,0,SA,1586121900.0,36,17.49,44.13,77.0,5.08
340,pozo colorado,99,PY,1586121900.0,43,-23.49,-58.8,92.05,4.32
341,barrow,90,US,1586121973.0,85,71.29,-156.79,21.2,13.87
342,constantine,20,DZ,1586121901.0,81,36.37,6.61,50.0,5.82
343,churapcha,100,RU,1586121901.0,94,62.0,132.43,8.51,5.93
344,tikhvin,38,RU,1586121863.0,87,59.65,33.53,28.81,6.93
345,tongliao,0,CN,1586121901.0,58,43.61,122.27,35.38,5.84
346,mbekenyera,2,TZ,1586121901.0,85,-10.0,38.98,70.63,2.62
347,ilhabela,12,BR,1586121789.0,71,-23.78,-45.36,74.05,9.8
348,northam,97,GB,1586121902.0,92,51.03,-4.22,57.0,10.0
349,labrea,99,BR,1586121619.0,63,-7.26,-64.8,88.81,1.05
350,providencia,92,MX,1586121903.0,29,28.72,-111.58,86.0,8.99
351,teya,93,RU,1586121903.0,92,60.38,92.63,21.96,4.47
352,manggar,89,ID,1586121903.0,81,-2.88,108.27,81.03,6.26
353,ostrovnoy,64,RU,1586121377.0,97,68.05,39.51,20.28,13.47
354,okhotsk,100,RU,1586121974.0,94,59.38,143.3,19.13,4.14
355,ilulissat,0,GL,1586121975.0,36,69.22,-51.1,15.8,32.21
356,akdepe,88,TM,1586121904.0,47,42.06,59.38,55.4,6.93
357,la libertad,29,EC,1586121904.0,69,-2.23,-80.9,82.4,10.29
358,emerald,0,AU,1586121904.0,52,-23.53,148.17,64.4,12.75
359,snezhnogorsk,8,RU,1586121904.0,53,69.19,33.25,21.2,4.47
360,vikulovo,100,RU,1586121904.0,95,56.82,70.61,36.91,8.63
361,qui nhon,21,VN,1586121905.0,84,13.77,109.23,75.31,2.89
